,Side,Win,First_Blood,First Tower,First_Inhibitor,First_Baron,First_Dragon,First_Rift_Herald,Tower_Destroyed,Inhibitor_Destroyed,Baron_Killed,Dragon_Killed,Vilemaw_Killed,Rift_Herald_Killed,Game_Duration,Total_Kills,Total_Deaths,Total_Assists,Total_Magic_Damage_Dealt,Total_Physical_Damage_Dealt,Total_True_Damage_Dealt,Total_Magic_Damage_To_Champions,Total_Physical_Damage_To_Champions,Total_True_Damage_To_Champions,Total_Heal,Total_Damage_Self_Mitigated,Total_Damage_Dealt_To_Objectives,Total_Damage_Dealt_To_Turrets,Total_Vision_Score,Total_Time_CCing_Others,Total_Magical_Damage_Taken,Total_Physical_Damage_Taken,Total_True_Damage_Taken,Total_Gold_Earned,Total_Minions_Killed,Total_Neutral_Minions_Killed,Total_Neutral_Minions_Killed_Team_Jungle,Total_Neutral_Minions_Killed_Enemy_Jungle,Total_Time_Crowd_Control_Dealt,Total_Champion_Level
0,Blue,1,1,1,0,0,1,0,3,0,0,1,0,0,944,22,11,16,60878,214863,31000,11375,19812,3072,8489,22469,16894,12053,53,53,17957,24170,2918,33464,371,112,44,48,409,52
1,Red,0,0,0,0,0,0,0,0,0,0,0,0,0,944,11,22,11,70306,50582,15243,15754,6630,2920,2029,16050,4870,4690,40,69,11373,24629,3072,22981,234,0,0,0,312,43
2,Blue,1,1,0,1,1,0,0,10,2,1,1,0,0,2286,26,45,44,175548,659467,55397,27532,73528,16381,36719,111798,55687,28210,165,124,47291,91322,14940,72312,745,205,149,16,850,84
3,Red,0,0,1,0,0,1,1,10,2,0,5,0,2,2286,45,26,48,235762,608923,64911,43193,58652,13025,59723,171839,87670,25752,121,97,30115,105230,18267,71655,709,194,103,40,1617,73
4,Blue,1,1,0,0,1,0,0,5,0,1,3,0,0,1557,22,14,46,222996,233419,13267,31603,22167,2107,30298,35498,52609,13626,107,88,19756,47415,4319,47929,560,137,93,4,636,68
5,Red,0,0,1,0,0,1,1,2,0,0,1,0,1,1557,14,22,15,120576,228218,16493,18256,19157,4197,17278,38188,23188,5072,115,47,32943,35660,2106,39483,457,112,84,1,625,59
6,Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,941,3,12,2,90059,93812,11188,5730,10649,876,6134,22090,3497,853,51,29,12175,24492,1088,21714,345,72,56,4,728,45
7,Red,1,1,1,0,0,1,0,1,0,0,1,0,0,941,12,3,15,86433,131191,9831,11860,13626,1088,10526,15540,10029,4179,50,26,7638,24567,876,27674,371,80,61,0,417,49
8,Blue,0,0,0,0,0,0,0,3,0,0,1,0,0,2172,24,41,40,273585,348464,24025,45421,33470,4498,19080,142689,21694,11033,180,181,36409,89506,5003,58287,698,149,124,6,1418,75
9,Red,1,1,1,1,0,1,1,10,3,0,4,0,1,2172,41,24,85,159671,552768,48768,33956,66761,5004,32871,155285,71736,24449,185,162,47520,60802,4497,68002,657,197,115,26,1484,82
10,Blue,1,1,1,1,0,1,0,10,2,0,3,0,0,1454,40,20,38,53278,413640,34754,11097,61534,3198,34443,99382,44203,25419,84,140,43016,49771,7282,52263,517,114,61,25,758,66
11,Red,0,0,0,0,0,0,1,3,0,0,0,0,2,1454,20,40,24,143929,202415,35617,42341,20529,4405,16684,72600,33145,10226,79,80,13188,79519,3198,41034,423,104,75,4,821,60
12,Blue,0,0,0,1,1,0,0,10,3,1,4,0,0,2321,54,56,74,212993,656578,38928,65293,104338,14282,55746,227623,77985,21131,168,191,24653,157788,36379,79614,740,194,110,38,1422,86
13,Red,1,1,1,0,0,1,0,10,2,1,1,0,0,2321,55,54,84,69782,732504,118704,22608,115456,34265,51880,253096,52441,23834,160,193,67581,135532,14280,82636,720,168,104,19,1712,89
14,Blue,1,0,1,1,1,1,0,10,3,1,4,0,0,2337,32,23,48,321351,461226,31923,65690,56435,3169,44951,75909,66590,18640,190,123,31845,71521,14131,69421,744,183,91,43,1093,85
15,Red,0,1,0,0,0,0,0,2,0,0,2,0,0,2337,23,32,26,188978,477753,70900,28722,41355,12300,32473,115336,28509,6212,167,146,67810,83700,3169,60636,740,147,98,12,1289,78
16,Blue,0,0,0,0,0,1,0,2,0,0,1,0,0,1751,26,42,39,198991,234883,28813,37720,42848,4157,22855,92849,12955,8168,125,132,28875,86151,8502,49055,512,102,75,0,639,69
17,Red,1,1,1,1,0,0,0,9,3,0,3,0,0,1751,42,26,57,150013,397402,42126,28006,59291,8504,46066,85615,48313,23135,96,103,42750,82605,7155,59677,501,193,147,18,804,73
18,Blue,1,0,1,0,0,1,0,1,0,0,3,0,0,1234,19,23,29,107185,164252,18430,20686,22685,2783,22730,41759,21839,6000,50,96,19901,51496,2752,35653,310,88,60,8,702,56
19,Red,0,1,0,0,0,0,0,0,0,0,0,0,0,1234,23,19,24,74910,195543,15940,18629,30141,2464,14638,39178,6677,2683,34,215,23006,36432,2783,32488,283,104,88,4,1489,52
20,Blue,0,0,0,0,0,1,0,0,0,0,1,0,0,961,3,19,1,73782,94113,20349,7797,9364,1276,8349,20972,10318,3278,31,35,9552,28046,1943,20285,260,78,55,4,425,44
21,Red,1,1,1,0,0,0,1,2,0,0,0,0,1,961,19,3,15,51603,160489,8684,8912,16497,1944,12468,16886,19663,5392,45,118,8362,22503,1275,30318,247,81,66,1,872,48
22,Blue,0,0,0,0,0,1,0,0,0,0,1,0,0,1196,6,22,6,58910,148606,26185,9380,14203,706,6950,22958,12996,2755,52,71,17347,30801,3632,24749,261,62,46,4,758,48
23,Red,1,1,1,0,0,0,1,4,0,0,1,0,1,1196,22,6,15,74136,202330,29314,16147,16573,3633,8423,25474,31868,9404,55,62,10255,30581,706,34821,369,92,47,12,687,56
24,Blue,1,1,1,1,0,1,1,10,2,0,2,0,2,1408,27,24,31,186608,151568,31216,47356,22027,5163,18099,59977,60053,20767,64,117,16696,64845,6538,43616,332,107,57,8,1040,60
25,Red,0,0,0,0,0,0,0,0,0,0,1,0,0,1408,24,27,17,115470,189676,26314,15938,39602,6540,21587,50289,9998,796,44,59,48202,47286,5162,37358,344,76,62,0,646,59
26,Blue,1,0,1,1,0,1,0,11,3,0,4,0,0,2069,41,36,48,206170,494913,34454,45632,72632,6079,31109,83207,34472,18897,85,356,34721,83883,2923,65832,602,192,124,24,1335,82
27,Red,0,1,0,0,0,0,0,2,0,0,0,0,0,2069,36,41,54,158154,312275,33865,32425,57836,2922,19711,142603,21348,5442,110,157,46807,93991,6078,55557,467,112,95,0,939,76
28,Blue,0,1,0,0,0,1,0,4,0,0,2,0,0,1656,19,41,15,224130,206936,52286,41238,17417,1596,22822,63835,29468,10815,76,194,46639,56357,8926,42997,441,136,99,1,1375,65
29,Red,1,0,1,1,0,0,1,10,2,0,0,0,1,1656,41,19,33,211441,256521,60887,44391,28068,8927,25271,43092,38068,22082,88,120,43221,38744,1596,52843,449,125,90,13,1117,72
30,Blue,1,0,0,1,0,1,1,11,5,0,4,0,1,2703,53,55,64,223640,598678,72081,67374,89214,6941,43339,186515,73503,27445,133,521,39284,151646,14059,79832,625,195,106,34,2780,89
31,Red,0,1,1,0,1,0,0,4,1,3,2,0,0,2703,55,53,56,195521,672908,86921,37153,118619,11940,39104,227098,87096,13696,150,171,71885,127944,6940,85023,626,158,98,16,1087,82
32,Blue,1,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,2682,11791,1127,743,1289,54,506,1167,0,0,2,7,364,2746,108,4445,33,12,8,4,57,15
33,Red,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,4194,9325,664,364,810,108,1057,1382,415,0,1,6,743,3149,54,4391,23,12,9,0,52,13
34,Blue,1,1,0,0,1,1,0,7,0,1,3,0,0,1869,32,28,37,172644,392863,14923,45097,40965,3280,29153,49286,56403,19074,113,215,28031,64270,1482,58082,514,165,102,20,915,75
35,Red,0,0,1,0,0,0,0,2,0,0,0,0,0,1869,28,32,38,108406,356974,19439,25217,34520,1482,18139,70046,14714,7883,94,100,46823,61597,3280,50587,492,133,98,6,1499,69
36,Blue,0,0,0,0,0,1,0,3,0,0,1,0,0,2126,35,43,40,189916,383857,20232,66093,53072,2099,25085,101026,25377,12028,107,189,52899,85093,8839,59508,489,147,107,16,1002,76
37,Red,1,1,1,1,1,0,1,10,3,2,4,0,1,2126,42,35,49,250351,348768,55054,50567,56926,8841,29714,153858,92337,19754,88,123,69173,85296,2099,65881,502,185,109,9,702,82
38,Blue,0,0,0,0,0,1,0,5,1,0,1,0,0,2348,23,35,42,383036,375216,95191,52343,38127,7906,34141,93213,32144,19943,184,128,82482,52167,10811,63069,785,127,95,4,1425,80
39,Red,1,1,1,1,1,0,1,10,3,1,3,0,1,2348,35,23,46,546445,255933,122416,81487,25926,10811,38315,101591,97698,44650,168,137,54916,71956,7904,72409,792,220,124,33,2168,85
40,Blue,1,1,0,0,1,0,0,7,1,1,1,0,0,1744,33,21,54,373100,173209,18864,54334,26108,4562,49682,78869,38643,12927,100,126,32852,71144,4226,56366,542,138,115,4,901,75
41,Red,0,0,1,1,0,1,1,6,1,0,3,0,1,1744,21,33,20,196815,341411,18567,28397,40831,2226,18877,91411,52391,15132,143,82,56289,48070,4562,51139,570,199,123,19,759,68
42,Blue,1,0,1,1,1,1,0,11,3,1,3,0,0,1819,34,21,28,510436,305727,35444,59518,29451,5143,43962,87064,56678,18152,139,185,30780,79384,8060,61751,667,293,158,71,2008,80
43,Red,0,1,0,0,0,0,0,4,0,0,0,0,0,1819,20,35,29,145162,334232,21174,24042,43797,3060,14845,92189,16305,10529,79,89,60233,60526,5142,48680,570,99,79,5,970,72
44,Blue,0,1,0,0,0,0,0,1,0,0,0,0,0,1621,23,43,21,48770,356812,29041,9394,62633,2158,21682,68131,15073,6260,113,122,14163,98489,2984,45868,492,85,75,1,516,65
45,Red,1,0,1,1,0,1,1,11,2,0,2,0,1,1621,43,24,48,90431,456179,30664,13342,76379,2984,30713,115596,56726,21785,99,121,10511,96792,4158,60611,600,136,67,22,1439,74
46,Blue,1,1,0,0,0,0,0,6,1,0,1,0,0,1890,40,40,62,166741,315312,26826,31905,60226,7003,34843,75168,26406,19975,87,112,28644,85453,12164,58693,505,103,74,4,1012,77
47,Red,0,0,1,1,1,1,1,9,1,2,4,0,1,1890,40,41,43,131507,466034,61609,26614,66340,11711,44732,90976,99611,13835,106,82,35103,97942,7002,61675,500,208,105,42,715,76
48,Blue,0,1,0,0,0,0,1,3,0,0,1,0,1,1876,30,38,39,72440,495449,38338,20285,74574,4849,33569,120408,34663,6503,109,127,51878,80153,9167,56521,529,213,127,31,1054,72
49,Red,1,0,1,1,1,1,0,9,2,1,3,0,0,1876,38,30,83,268800,360854,28910,50300,57890,8300,30349,119009,71719,28172,118,129,22316,101708,4848,65660,557,147,101,10,2006,79
50,Blue,0,0,1,1,1,1,0,10,2,1,1,0,0,1699,32,21,34,159824,377878,34172,47551,38014,2498,13620,72140,50581,27118,108,141,23078,65871,3144,55056,484,183,104,38,899,72
51,Red,1,1,0,0,0,0,0,1,0,0,1,0,0,1699,21,32,25,77576,379206,24873,20328,41617,3144,31009,74048,19906,4141,97,64,50219,61313,2498,47147,546,105,83,4,888,70
52,Blue,0,1,0,0,0,1,1,5,1,0,2,0,1,2079,26,29,26,252848,386204,37203,46126,43036,3234,22351,59350,44327,14163,166,166,46449,65470,985,56585,574,179,118,13,1880,75
53,Red,1,0,1,1,1,0,0,11,4,2,3,0,0,2079,29,26,44,354738,435910,28215,45341,36791,987,41292,73474,91510,29211,155,68,52092,73260,3384,66766,611,221,153,16,735,82
54,Blue,0,0,0,0,0,1,0,3,0,0,2,0,0,2175,29,41,32,246163,358613,13067,54186,42647,2368,38960,79105,28742,9454,181,90,55528,71786,13462,58796,627,98,66,8,753,73
55,Red,1,1,1,1,0,0,0,8,1,0,2,0,0,2175,41,29,60,244649,369180,56890,55037,52022,13463,30227,93597,41497,22520,176,100,55083,67808,2368,65549,589,132,60,33,875,77
56,Blue,0,1,1,1,0,0,0,8,4,0,0,0,0,2406,56,39,39,297975,462647,25987,66376,55967,6617,27508,161793,33432,23096,69,148,86246,85876,4105,69785,635,87,57,18,784,71
57,Red,1,0,0,0,1,1,1,8,4,1,6,0,1,2406,38,56,59,350864,463112,68770,85615,51639,4105,32123,98559,95330,16669,136,172,68717,93136,7382,74527,633,165,98,12,774,88
58,Blue,1,0,1,0,0,1,1,5,0,0,3,0,1,1377,22,7,19,74432,226498,29714,12054,22110,5066,17169,25864,42422,12337,20,42,14971,33371,0,37848,325,124,48,41,492,60
59,Red,0,1,0,0,0,0,0,1,0,0,0,0,0,1377,7,22,4,112285,103543,4685,13885,9660,0,7334,17459,6628,5574,34,16,12053,30461,5067,28511,371,0,0,0,123,51
60,Blue,0,0,0,0,0,0,0,3,0,0,0,0,0,1918,27,47,30,235329,304583,26275,47279,39086,10567,21410,89072,21132,11416,90,100,18025,89023,3909,54817,547,121,93,4,884,72
61,Red,1,1,1,1,1,1,1,11,3,1,3,0,1,1918,47,27,50,165953,516877,52280,16800,72601,3911,84624,121897,74999,23851,122,100,52202,84740,13065,66773,568,235,131,50,1064,79
62,Blue,0,1,0,0,0,0,0,3,0,0,0,0,0,1187,8,30,2,68160,135298,20356,12799,15129,1328,7028,38790,11026,11026,26,75,11058,48472,204,26678,306,8,8,0,493,45
63,Red,1,0,1,1,0,1,0,6,1,0,2,0,0,1187,30,9,27,51811,183962,9056,11058,35575,204,11865,32551,34152,23198,31,42,13208,33994,1327,36301,300,23,4,5,232,52
64,Blue,1,0,1,1,0,1,0,8,1,0,1,0,0,1034,30,14,18,24678,236799,6145,4455,35745,376,8895,25271,28989,24366,4,29,6832,37062,0,35146,274,64,32,20,370,48
65,Red,0,1,0,0,0,0,0,0,0,0,0,0,0,1034,12,31,6,31992,122534,7645,6123,14411,0,4619,24860,4410,4410,5,43,4453,48039,376,20603,227,12,12,0,168,42
66,Blue,1,0,1,1,1,1,0,6,1,2,3,0,0,2221,64,44,55,63884,453382,38549,11419,112043,15474,29610,118320,66263,17058,52,78,56628,92345,1596,65084,419,64,25,0,748,78
67,Red,0,1,0,0,0,0,0,6,0,0,1,0,0,2221,43,64,32,192869,376508,58629,55096,65619,1598,26980,116659,25293,17314,92,97,11419,137838,15473,61743,570,32,8,12,657,75
68,Blue,1,1,1,1,0,0,1,5,1,0,0,0,1,1001,19,17,7,36347,151704,26821,8024,22388,1862,13981,18950,20364,10956,15,36,14933,31281,262,29779,254,37,5,17,277,46
69,Red,0,0,0,0,0,1,0,0,0,0,1,0,0,1001,17,19,13,55526,69822,4532,14934,12014,262,6715,19950,8092,2984,19,34,8550,34155,1860,24497,152,27,16,0,294,39
70,Blue,0,0,0,0,0,0,0,3,0,0,2,0,0,1689,30,35,26,173818,370225,17169,30577,47620,3677,25838,77658,31041,9354,138,75,43861,63214,5650,53995,577,162,114,16,769,70
71,Red,1,1,1,0,1,1,1,4,0,1,2,0,1,1689,35,30,53,223650,314502,35811,42816,40033,5652,39335,98786,45429,7201,124,135,33226,77888,3676,58952,541,206,116,32,1243,77
72,Blue,0,1,0,0,0,0,0,1,0,0,0,0,0,928,7,25,6,48026,135464,18329,9622,14004,821,10422,20968,5449,2771,43,37,6532,39992,2762,24911,295,89,68,7,660,44
73,Red,1,0,1,0,0,0,1,3,0,0,0,0,1,928,25,7,22,44961,147183,18944,5102,26282,2763,12289,23893,17664,8490,40,62,10575,31067,821,32204,318,70,47,4,342,48
74,Blue,1,0,1,1,1,1,1,11,4,1,4,0,1,1981,44,32,45,350594,431401,43818,58105,63148,6545,77572,157489,87176,27029,132,171,29964,130996,19642,69529,662,252,133,43,1618,84
75,Red,0,1,0,0,0,0,0,2,0,0,1,0,0,1981,32,44,49,116623,542253,109406,26104,93144,18995,57759,108204,16062,4837,116,123,60016,107448,6544,61739,683,143,126,0,1239,79
76,Blue,1,1,1,1,0,1,0,9,2,0,2,0,0,1591,51,21,72,99932,385629,23887,32061,71188,8052,45701,84174,40657,20898,103,266,31361,75042,6807,58631,459,141,91,17,1298,72
77,Red,0,0,0,0,0,0,0,2,0,0,1,0,0,1591,21,51,19,168591,258199,39364,30481,40048,2808,18107,116940,11832,4884,90,101,33750,87781,8052,46408,484,130,102,0,830,67
78,Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,1066,8,16,6,103879,117388,19908,14682,11391,462,12969,27559,3534,1767,44,13,11794,41098,901,27024,375,76,66,0,420,49
79,Red,1,1,1,1,0,1,1,5,1,0,2,0,1,1066,16,8,11,73092,250413,26789,10290,28492,902,14916,24491,38431,12294,58,37,15971,27660,461,33547,379,124,87,4,338,54
80,Blue,0,1,1,0,0,0,1,6,0,0,3,0,1,1865,45,49,61,318606,264475,55754,71246,43770,22685,33393,106310,48824,14784,133,132,29916,100191,4990,61422,511,234,161,24,1151,73
81,Red,1,0,0,1,1,1,0,8,1,1,2,0,0,1865,49,45,74,173585,413207,19134,26431,75799,4826,60695,86428,52281,18885,114,154,74463,69816,22683,69316,586,138,100,0,1442,78
82,Blue,1,1,1,1,1,0,1,11,7,2,3,0,1,2801,51,49,76,272812,819214,67151,64587,89928,12209,97304,344936,114695,18551,228,209,63982,158476,54538,93453,808,360,196,69,1249,90
83,Red,0,0,0,0,0,1,0,5,0,1,3,0,0,2801,49,52,86,377398,785228,156620,58298,112020,49766,57274,242923,64122,15157,241,181,67919,136157,14146,93067,960,209,173,4,1156,90
84,Blue,0,1,0,0,0,0,0,3,0,0,0,0,0,1476,13,27,9,207851,182071,7089,27764,15377,1679,10935,39608,12241,8651,72,81,19697,49519,1627,39807,472,112,94,4,791,60
85,Red,1,0,1,1,1,1,1,5,1,1,3,0,1,1476,27,13,37,111557,335336,43098,17964,34012,1627,32288,37137,60231,15191,124,124,31063,49724,1678,49530,515,167,99,20,667,68
86,Blue,1,1,1,1,1,1,1,9,1,1,4,0,1,1829,49,26,81,346759,308717,23592,56635,66312,3733,56908,160034,70058,16423,108,124,62348,74003,11301,66038,566,225,116,46,1031,80
87,Red,0,0,0,0,0,0,0,2,0,0,0,0,0,1829,25,49,45,212919,263882,16756,60398,42503,8184,30420,90526,10587,7389,76,125,58572,88069,3731,51289,524,119,98,4,654,70
88,Blue,0,0,0,0,0,1,0,0,0,0,1,0,0,1039,15,27,14,51920,100280,22294,10703,17653,5084,10766,23311,9430,437,50,36,19023,35903,1024,28611,269,60,47,0,505,47
89,Red,1,1,1,0,0,0,0,5,0,0,1,0,0,1039,27,15,17,117194,215911,6966,18274,23859,1024,18877,28140,25471,13756,62,63,12672,36431,5083,37859,404,124,84,12,680,55
90,Blue,1,1,1,1,1,1,0,10,2,1,3,0,1,1542,32,12,34,83465,435783,64953,14245,47814,7859,34841,58748,77565,22813,108,42,23278,64033,3614,54165,539,236,107,56,784,70
91,Red,0,0,0,0,0,0,1,0,0,0,0,0,1,1542,12,32,20,120470,175159,34962,19751,28765,3616,16176,43496,8899,208,82,104,15500,66120,7858,37888,396,87,73,3,1397,60
92,Blue,0,0,1,1,0,1,0,5,1,0,1,0,0,2066,40,62,45,254847,472395,40873,49650,84664,14687,52739,155166,51322,21419,150,92,45196,137471,13701,68071,694,182,112,26,1205,81
93,Red,1,1,0,0,1,0,1,10,2,1,4,0,1,2066,62,40,77,216693,540569,66068,43691,104500,13702,62575,127052,69790,21904,158,56,51695,112633,15686,77979,713,217,117,41,1184,89
94,Blue,0,1,0,0,0,0,1,6,1,1,2,0,1,2383,51,55,87,263295,528530,114351,67298,83494,16238,70069,200844,58617,16572,184,183,43236,148379,11723,79620,726,196,122,31,1452,88
95,Red,1,0,1,1,1,1,0,10,4,2,4,0,1,2383,55,51,72,170846,741678,109939,41094,114550,11722,54601,138281,112625,23245,183,168,69861,120821,16346,84374,698,257,136,51,1195,89
96,Blue,0,1,1,0,0,1,1,4,0,0,2,0,2,1917,29,38,22,276587,299068,31536,52105,41758,1908,37147,59570,52180,9715,144,59,26824,86472,6122,53409,625,134,94,1,839,72
97,Red,1,0,0,1,1,0,0,7,1,1,2,0,0,1917,38,29,34,109970,562204,60776,26013,55427,6123,36492,74744,61302,16988,154,78,55171,72766,1907,65100,599,269,160,48,1021,82
98,Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,1056,10,26,12,29080,140213,32683,7711,18569,4210,16445,30382,4888,1936,51,46,19183,35291,2825,25938,312,71,55,0,589,46
99,Red,1,1,1,0,0,1,0,4,0,0,1,0,0,1056,26,11,24,153579,156773,43454,18036,22137,2826,18780,34408,17765,10813,66,69,10069,44742,4209,37923,389,128,88,16,810,54
100,Blue,1,0,1,0,1,1,0,9,1,2,2,0,0,1979,51,51,48,54732,611454,42693,10622,104915,10634,62249,191643,67021,24775,61,100,77605,104911,20191,71069,579,159,101,9,651,81
101,Red,0,1,0,1,0,0,1,5,1,0,3,0,1,1979,51,53,71,243757,334193,41816,74955,69860,16794,27484,165717,53438,8716,103,133,12336,133885,10634,64281,481,147,104,7,1251,77
102,Blue,1,0,0,1,0,0,1,7,1,0,4,0,1,1732,44,21,66,152651,331558,67830,24585,47705,12595,70976,100492,75478,22004,109,90,49921,72103,6002,59577,556,160,100,16,1467,75
103,Red,0,1,1,0,1,1,0,3,0,1,1,0,0,1732,21,44,28,209980,351543,35491,46738,43493,5601,23441,60408,29215,11439,92,43,25570,74719,12593,53434,589,171,118,9,705,70
104,Blue,0,0,1,0,0,0,1,4,0,0,1,0,2,2004,34,46,39,40429,564260,45976,12789,66841,7483,35189,86473,59751,8961,185,76,54154,91152,4157,62259,606,184,114,14,657,78
105,Red,1,1,0,0,1,1,0,6,0,1,3,0,0,2004,46,34,51,256866,485275,25742,50894,67081,3834,34353,75744,70116,18837,178,76,16176,102124,7857,69739,703,197,132,18,784,84
106,Blue,0,1,0,0,0,0,0,0,0,0,0,0,0,1622,21,29,23,128281,162891,33037,33568,27419,7776,15017,67493,5019,1502,88,126,27307,59292,6461,40224,382,93,82,0,726,62
107,Red,1,0,1,1,0,1,0,8,2,0,4,0,0,1622,29,21,35,151715,360715,40900,25924,40058,6462,34273,63622,45079,20176,120,134,35164,56889,7776,51444,560,156,82,28,1543,68
108,Blue,0,1,0,0,0,0,0,1,0,0,1,0,0,1424,10,17,5,104316,229581,17042,10316,17412,779,19466,48713,10141,1375,66,51,33732,41430,1770,35501,525,104,65,13,986,60
109,Red,1,0,1,0,0,1,0,4,0,0,2,0,0,1424,17,10,22,233960,204908,11687,32091,17390,1773,22809,27161,26263,11002,88,93,13337,42951,779,42323,526,171,92,49,1232,64
110,Blue,0,0,0,0,0,0,0,2,0,0,0,0,0,1871,36,44,33,108699,397692,20426,26109,53106,6262,32095,133744,12835,5157,125,86,47395,72734,12709,55701,534,161,112,23,803,72
111,Red,1,1,1,0,0,1,0,5,0,0,4,0,0,1871,44,36,69,214176,433951,41608,46542,52587,11051,30432,79599,46406,14063,134,171,29464,78311,6599,64520,647,191,124,5,1478,77
112,Blue,0,0,0,0,0,1,0,1,0,0,1,0,0,1307,15,25,14,112949,147236,30148,20491,13678,3429,18976,51726,17893,4523,63,67,18129,51554,5300,33027,402,76,60,0,842,55
113,Red,1,1,1,1,0,0,1,8,1,0,1,0,2,1307,25,15,44,154987,255096,35657,16641,36141,5301,25220,46031,49936,18820,84,99,23334,40916,3428,45023,470,160,67,51,654,62
114,Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,912,9,28,8,63378,103032,4278,12999,13802,2090,10570,25573,4894,2692,50,33,14399,35261,1702,24020,263,78,64,0,264,44
115,Red,1,1,1,0,0,1,1,4,0,0,2,0,1,912,28,9,29,57735,190331,15693,12970,22184,1703,12967,27304,30951,11578,56,31,13997,32314,2089,35264,316,83,43,11,307,50
116,Blue,1,0,0,1,0,1,0,7,1,0,2,0,0,1819,43,30,59,194210,385461,19270,52040,55342,6031,34740,92164,39860,16598,115,110,53453,69544,6953,62353,573,168,121,5,821,77
117,Red,0,1,1,0,0,0,1,3,0,0,2,0,1,1819,30,43,33,228807,289760,28518,52167,35479,6621,27304,125528,34278,6552,133,134,54362,83461,6034,54831,558,156,108,4,1152,72
118,Blue,0,0,0,1,0,1,1,7,1,0,2,0,1,1903,23,31,39,199020,330617,55622,31869,41717,10474,25463,68248,44239,16457,149,93,38236,63760,8259,54246,532,191,123,19,1081,70
119,Red,1,1,1,0,1,0,0,4,0,1,2,0,0,1903,31,23,44,173917,399315,30332,35705,43074,8259,38872,81576,42359,10729,157,82,36287,72025,10486,58695,624,156,115,10,859,77
120,Blue,1,1,1,0,0,0,1,5,0,0,2,0,1,1275,26,12,39,50326,311354,25324,11323,35808,2786,19587,38616,39710,13913,88,92,21438,32657,3618,41844,441,124,76,6,1178,58
121,Red,0,0,0,0,0,1,0,1,0,0,1,0,0,1275,12,26,9,188403,128585,19512,20265,11141,3620,23771,51207,14383,4769,74,85,13034,52028,2785,33983,456,107,90,0,541,55
122,Blue,1,0,0,1,1,0,0,5,1,1,3,0,0,1684,38,26,66,389454,179392,21086,58160,31018,6583,29230,104151,60935,17237,114,198,34981,63402,2405,55669,490,168,122,0,2015,73
123,Red,0,1,1,0,0,1,1,2,0,0,1,0,1,1684,26,38,26,162406,313628,20093,32418,36269,2405,15910,122457,25079,6488,113,164,60251,49294,6778,48722,537,163,124,5,1296,66
124,Blue,1,1,1,0,0,1,0,5,0,1,4,0,0,2251,48,47,87,191292,599112,49918,44172,100362,10823,52216,208554,80980,15321,207,200,49127,102544,18859,73261,616,210,130,19,1944,86
125,Red,0,0,0,0,1,0,0,4,0,1,1,0,0,2251,47,49,98,182311,474643,44936,45490,70772,18009,24354,195749,44845,12408,153,251,47779,128001,10820,70073,585,175,148,0,1435,81
126,Blue,0,1,1,0,0,1,0,2,0,0,2,0,0,2009,26,31,33,326075,322347,26415,52817,36708,3506,15662,143334,24118,4858,116,169,64504,54416,3277,54633,660,178,132,4,2115,73
127,Red,1,0,0,1,1,0,0,8,1,1,1,0,0,2009,31,26,58,380852,366146,34092,63252,37890,3277,29155,85482,59397,25568,148,119,58531,64648,3506,63247,674,208,153,9,1355,80
128,Blue,0,1,0,0,0,0,0,2,0,0,0,0,0,1598,21,25,22,134142,261741,35797,30558,26338,5298,27556,55301,11401,5811,99,57,33213,55481,2696,45284,548,105,85,0,654,65
129,Red,1,0,1,0,0,1,1,4,0,0,4,0,1,1598,25,21,25,147408,297453,40719,31725,27051,2697,29780,55269,51239,10320,92,44,33305,46056,5363,48294,554,148,104,5,498,68
130,Blue,0,0,1,0,0,0,1,1,0,0,0,0,2,1984,19,39,36,108800,482113,21990,23652,61897,6159,31662,81303,18341,3222,103,169,72874,49570,5341,51524,568,167,127,8,2451,71
131,Red,1,1,0,0,0,1,0,9,0,0,4,0,0,1984,39,19,75,353055,318447,42746,70030,36136,5342,46465,103296,67334,34924,150,106,26027,94266,6547,64063,622,189,113,29,822,77
132,Blue,1,0,0,0,1,0,0,7,1,1,1,0,0,2391,39,43,50,251097,540552,35701,77191,57803,2697,51716,139494,58984,18100,182,146,97285,76815,13061,73112,779,149,107,1,1194,88
133,Red,0,1,1,1,0,1,0,10,2,0,4,0,0,2391,43,39,54,525077,328295,71873,93686,47241,13061,46619,212281,48427,20083,152,228,83148,99992,3697,73820,718,257,181,31,1681,85
134,Blue,1,0,1,0,0,1,1,3,0,0,2,0,1,1187,33,18,35,179454,154292,20452,32343,20186,1072,22193,46723,34692,9865,91,78,19582,46284,7760,41355,406,108,68,8,880,59
135,Red,0,1,0,0,0,0,0,1,0,0,0,0,0,1187,18,33,17,148310,148474,21989,18143,28403,7760,16472,38651,10189,5700,68,85,33996,38270,1072,35159,397,106,83,8,926,52
136,Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,1379,10,30,10,100796,244907,16392,16763,32690,1494,16818,38565,4608,1014,91,33,21258,44074,7870,34906,471,115,102,8,395,58
