,Side,Win,First_Blood,First Tower,First_Inhibitor,First_Baron,First_Dragon,First_Rift_Herald,Tower_Destroyed,Inhibitor_Destroyed,Baron_Killed,Dragon_Killed,Vilemaw_Killed,Rift_Herald_Killed,Game_Duration,Total_Kills,Total_Deaths,Total_Assists,Total_Magic_Damage_Dealt,Total_Physical_Damage_Dealt,Total_True_Damage_Dealt,Total_Magic_Damage_To_Champions,Total_Physical_Damage_To_Champions,Total_True_Damage_To_Champions,Total_Heal,Total_Damage_Self_Mitigated,Total_Damage_Dealt_To_Objectives,Total_Damage_Dealt_To_Turrets,Total_Vision_Score,Total_Time_CCing_Others,Total_Magical_Damage_Taken,Total_Physical_Damage_Taken,Total_True_Damage_Taken,Total_Gold_Earned,Total_Minions_Killed,Total_Neutral_Minions_Killed,Total_Neutral_Minions_Killed_Team_Jungle,Total_Neutral_Minions_Killed_Enemy_Jungle,Total_Time_Crowd_Control_Dealt,Total_Champion_Level
9300,Blue,0,0,0,0,0,0,0,1,0,0,1,0,0,2073,32,56,52,254967,306391,79269,63329,37923,2928,32935,120079,20005,3532,107,136,79373,76440,10799,58040,590,106,81,0,993,77
9301,Red,1,1,1,1,1,1,1,9,3,1,4,0,2,2073,56,32,67,264292,314862,66756,78391,50002,10799,37483,76094,83350,16582,142,85,64780,66424,2926,68530,460,193,95,33,421,81
9302,Blue,0,0,1,0,0,1,1,1,0,0,1,0,1,1318,20,30,14,90794,121408,28005,21350,19690,1236,14732,47542,19971,3323,47,97,31807,43432,851,33244,296,72,53,0,666,54
9303,Red,1,1,0,0,0,0,0,3,0,0,1,0,0,1318,30,20,25,113807,215023,22543,30982,27955,851,15081,40367,17694,10626,65,43,22373,44456,1235,40355,384,120,79,16,1163,61
9304,Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,1331,18,39,22,61118,166821,59035,16925,27435,10969,10769,45058,7661,1470,52,99,17422,61199,2825,34684,287,68,68,0,787,57
9305,Red,1,1,1,0,0,1,1,5,0,0,3,0,2,1331,39,18,31,84447,265644,29522,16885,47398,2826,30278,54593,54082,14708,52,108,17939,54163,10970,45371,381,124,53,23,1178,63
9306,Blue,0,0,0,0,0,0,0,1,0,0,1,0,0,1886,25,43,25,191255,168735,17617,57847,26005,2617,16035,103971,12660,3777,85,154,25098,80236,3947,44381,331,73,46,8,2058,66
9307,Red,1,1,1,1,0,1,0,8,1,0,2,0,0,1886,43,26,47,123525,344999,24692,22859,61221,3948,27646,81993,37415,22656,60,96,59211,50033,2617,55282,458,117,79,20,902,71
9308,Blue,1,0,1,0,0,1,1,6,0,0,2,0,1,1365,23,10,22,123861,237810,27915,29463,29951,4352,24041,42487,34704,12205,64,103,23691,42355,1345,41499,407,116,75,6,917,60
9309,Red,0,1,0,0,0,0,0,1,0,0,1,0,0,1365,10,23,6,134623,143874,6982,22643,18477,1348,10875,44970,12214,3427,36,78,30754,43099,4349,31286,345,98,82,0,819,54
9310,Blue,0,1,0,0,0,0,0,3,0,0,0,0,0,2011,45,48,64,210761,285876,37965,77062,51264,18936,21936,99136,13615,8556,133,161,64544,78405,12939,60654,497,112,88,11,1246,76
9311,Red,1,0,1,0,0,1,1,5,0,0,4,0,1,2011,48,45,50,318068,357466,40913,62449,48687,12940,59586,147379,60365,15662,115,146,79112,92780,18934,65883,523,220,122,45,1521,81
9312,Blue,1,1,1,1,1,1,1,10,3,1,3,0,2,2079,56,45,96,140489,502548,57590,35806,96812,18443,38698,146196,88062,22534,98,152,24536,107709,18304,72839,531,165,85,25,642,83
9313,Red,0,0,0,0,0,0,0,6,0,0,2,0,0,2079,45,56,52,137013,546193,44430,22435,76901,16507,36056,188152,35280,16526,131,141,38257,129395,18442,68248,660,150,105,12,1160,82
9314,Blue,1,0,1,1,1,1,0,10,3,2,4,0,1,1989,51,36,55,96832,456127,62890,18779,65526,19305,53699,146459,96829,23728,112,81,26488,95689,25538,68134,493,171,80,28,824,80
9315,Red,0,1,0,0,0,0,1,4,0,0,1,0,1,1989,35,51,43,148824,420167,49347,23651,64066,23094,38096,110830,39496,13533,48,83,21601,88515,20451,58693,483,188,123,27,955,75
9316,Blue,0,1,0,0,0,1,0,1,0,0,3,0,0,1408,20,33,20,75597,220103,29859,6041,28153,6213,13856,71522,28213,6318,57,68,21717,69736,5614,36388,328,95,60,7,445,58
9317,Red,1,0,1,1,1,0,1,10,2,1,0,0,1,1408,33,20,29,133383,281383,58997,21240,47728,5614,21717,49699,52602,19764,73,116,8955,53437,6212,48694,385,136,70,29,718,68
9318,Blue,0,1,0,0,0,1,0,0,0,0,2,0,0,1200,11,28,8,69597,131509,14671,16515,17474,1618,13226,29691,10689,474,41,50,24596,39906,984,26300,267,58,47,0,439,47
9319,Red,1,0,1,0,0,0,1,5,0,0,0,0,1,1200,28,11,27,75777,184074,264473,23738,27303,985,11414,26102,22573,12975,75,79,17782,29328,1618,40225,381,105,69,12,413,56
9320,Blue,1,1,1,1,1,1,1,8,2,1,3,0,2,1754,46,33,29,292245,273759,65409,79292,27678,5317,38370,95857,77641,18279,73,127,44588,77000,5328,59831,521,207,120,17,1105,76
9321,Red,0,0,0,0,0,0,0,2,0,0,1,0,0,1754,32,46,44,210576,247553,33276,40860,42427,5252,17975,98228,16232,5904,64,135,80949,45645,5316,50035,470,81,74,0,952,71
9322,Blue,0,1,0,0,0,0,0,1,0,0,0,0,0,1420,16,39,13,90139,152031,27072,27763,16320,800,8454,42227,6959,5604,43,113,21460,66313,1190,33508,292,82,53,17,1024,54
9323,Red,1,0,1,0,0,1,1,7,0,0,3,0,1,1420,39,18,44,140136,243870,13679,20226,45113,1190,13323,47827,47326,16436,82,121,30032,36707,800,46475,295,138,75,23,1028,63
9324,Blue,0,1,0,0,0,0,0,0,0,0,0,0,0,1494,19,27,28,120879,138123,27588,24738,18384,4735,17536,69301,6917,928,62,107,38291,59135,2364,36459,312,78,62,0,1103,62
